,timestamp,longitude,latitude,phone_brand_en,gender,age_segment,location
266400,2016-05-06 20:58:28,120.3,31.91,Huawei,M,39+,Jiangsu
208213,2016-05-03 23:21:58,123.47,41.82,Meizu,M,39+,Liaoning
463163,2016-05-04 07:13:19,114.26,30.57,Huawei,F,39+,Hubei
1178244,2016-05-01 07:18:30,115.26,38.38,Meizu,M,33-38,Hebei
757013,2016-05-07 11:02:28,118.2,36.18,Huawei,M,33-38,Shandong
159537,2016-05-05 19:11:37,104.08,30.6,HTC,M,29-32,Sichuan
926868,2016-05-02 09:46:17,117.02,39.14,Huawei,M,33-38,Tianjin
431584,2016-05-07 07:14:33,130.28,47.31,Xiaomi,F,39+,Heilongjiang
1078995,2016-05-07 14:15:24,108.97,34.29,Huawei,M,23-26,Shanxi
1124365,2016-05-05 19:54:01,119.57,29.54,vivo,M,29-32,Zhejiang
1068291,2016-05-04 13:02:01,110.53,24.92,vivo,F,33-38,Guangxi
407323,2016-05-02 12:48:32,113.58,31.39,Huawei,M,39+,Hubei
1003369,2016-05-01 18:33:54,102.7,25.06,Huawei,F,33-38,Yunnan
919870,2016-05-01 16:18:51,113.42,23.17,Xiaomi,M,22-,Guangdong
962588,2016-05-02 20:50:10,126.94,44.41,vivo,M,29-32,Jilin
577306,2016-05-06 14:16:57,112.42,39.32,OPPO,F,27-28,Shanxi
1226219,2016-05-06 07:02:35,102.71,25.0,Xiaomi,M,33-38,Yunnan
909357,2016-05-07 21:25:46,109.41,24.32,Samsung,F,39+,Guangxi
1231967,2016-05-06 16:09:10,120.99,31.38,Huawei,M,29-32,Jiangsu
98985,2016-05-02 00:19:23,114.11,22.57,Xiaomi,M,23-26,Guangdong
745815,2016-05-04 17:27:26,114.3,30.48,Xiaomi,F,22-,Hubei
953673,2016-05-06 07:03:39,131.99,45.52,Samsung,M,23-26,Heilongjiang
1020844,2016-05-07 00:13:11,117.09,36.68,Other,F,27-28,Shandong
535104,2016-05-03 23:01:30,119.25,26.09,Huawei,M,39+,Fujian
1122467,2016-05-05 04:05:05,116.1,39.36,Other,F,23-26,Hebei
735445,2016-05-07 10:42:36,119.08,25.39,Huawei,F,23-26,Fujian
1210861,2016-05-06 16:19:45,119.29,26.06,Samsung,M,39+,Fujian
1267626,2016-05-06 12:00:35,119.52,39.91,Huawei,F,23-26,Hebei
25501,2016-05-04 20:27:11,118.76,34.12,Huawei,M,29-32,Jiangsu
510021,2016-05-01 16:36:25,116.35,23.32,Meizu,M,22-,Guangdong
